,comment
0,маслеников обязан участвовать
1,ДО СЛЕЗ 🤣🤣🤣
2,А что литвин сказал про свою девушку?
3,Естественный отбор.
4,Там тип из сердца ивлеевой
5,хазяева топ
6,Почему ты не хочешь снять фильм со своими всеми друзьями?
7,Илюха просто смешной 😂
8,"Позови Эвелона, стример если что такой на твиче ( как и бустер ) позови кароч его ( он хотел ) залайкайте чтоб Литвин увидел пж"
9,Илья
10,возьми Валю карнавал и Сашу Стоуна
11,"Литвен , ты лучший просто 👍"
12,1:03:43
13,39:22
14,Ждём 3 и 4 часть
15,А не Алексей случайно участвовал в шоу у Ивлеевой за ее сердце?)
16,БУСТЕРА
17,"Что за песня, которую пел Миша в начале????"
18,Формат плохой и шоу фигня... Для быдла
19,"Нужно одновременно делать всех четверых для объективного эксперимента, а не для шоу"
20,"23:23 и 25:07 нормально, зачем перчатки одноразовые тогда? Всю грязь на телефоне собрал и не сменил их..."
21,Сколько заплатили евлеевой? Или сколько она запросила?
22,Я в первые смотрю этот выпуск сейчас и после просмотра (сердце ивлеевой) я вижу знакомые лица 😂👍
23,26:02 название трека/ бита
24,Нужен бустеер на 3 тур
25,литвин я тебя люблу выйди за меня
26,"ЛИТВИН Я ЛЮБЛЮ ТЕБЯ, ВЫХОДИ ЗА МЕНЯ. КОРЕШ"
27,Ивлеева шарит 😂😂😂😂🤙
28,👍👍👍👍👍
29,"Это просто бомба если будут задания, позови SodaEffect - (Александр, Лакер)"
30,Литвин Я тебя люблю 😣💓
31,"Я после наркоза,сказала что Литвин мой папа😂 потому что до операции в машине смотрела Литвина 😅"
32,Парадеевич всю серию вытащил
33,Миша молодец оценка 10000000000
34,литвин позвони мне я болею раком и мечтаю стобой встретится или позвони мне хотябы
35,"Маслиников, Морген, Стоун, Бустер"
36,Ждём Пашу техника
37,У меня дед 2 часа жержится😁
38,"Бля, как то раз пыхал манту с жижей тархуна 45мг меня так уебала, друга позвать не мог что бы он помог встать
Это пиздец, не делаете так"
39,Литвин я люблю тебя. Я думаю будет Масленников Дима и Настя Ивлева
40,Где Субо ? Почему твоего кореша нету здесь? Или это не его уровень?
41,пересматриваю чтобы поржать с Илюхи хахахахахах
42,Хочется в следующей части видеть весь склад хазяев что бы они сразились за приз
43,"Я один заметил пар после тяжки Ильи👇
49:44"
44,В канце литвил пяный в ноль
45,1:12:10 прислушайтесь) 🤣🤣🤣🤣
46,Литвин можно 3 часть про наркос
47,"Боже братишка это просто разнос. Лучший, респект прям."
48,С.ка 🔥🔥🔥🔥🔥🔥🔥🔥🤘🤘🤘🤘🤘
49,"Аааааааа су.ааа аааааа пи..дец выпал с Настюхи когда она дуть стала, падсикай падсикай ааааахахахах😂😂😂😂😂😂😂👍👍👍🔥🔥🔥🔥🔥"
50,А что такого сказал Литвин что Адель хотела уйти?
51,это просто топ а не видос
52,"хочу увидеть именно девушек стримеров например там Кая,Каролина,Акулич,Екатзе,Амина и тд"
53,Если у меня -30  я встаю и бью тебе еало45:10
54,жду продолжения!
55,Блин парадеевич не выйграл
56,48:40
57,Настя лучшая!!!
58,Литвин я тебе люблю ну это пусть твоя девушка не ревнует я так как блогира
59,хахахах 42:04 стоп кадр
60,Жду Даника и Масленникова!!!И Егора крида
61,Та самая Аделя:мне тоже интересно
62,Ивлеева даже кофту не успела снять а её уже в кабинет затащили.
63,Жалко что без Кости
64,по братски побольше видеооо с САААНЕЕЕЕЕЕЙЙЙЙЙ
65,"Бл человеку 22 года , и уже на пике популярности ахуеть можно красава ✊🏻✊🏻✊🏻что сказать !"
66,Литвин я люблю тебя
67,"Как и после смерти 

Без вторых шансов друзя"
68,Крид + девушки
69,Я тебе люблю 💖💗💝💘
70,Литвин я люблю тебя 💜❤️
71,Литвин Я тебя люблю Я думаю что иксайн
72,Ск стоит ? Тоже хочу такой укольчик . Однажды попробовал ксанекс😊былочтотопримернопохожее
73,"Боже , я никогда так не смеялся от просмотра чего либо . Просто топ! Пересмотрел оба выпуска по 2 раза . До этого Литвина вообще не смотрел , бесил он меня, а теперь прям понимаю что збс чувак , очень годный контент . Жду новый выпуск."
74,В меня когда вводили наркоз меня попросили посчитать до 100 я досчитал до 20 и не помню не чего
75,Литвин я знатно угарнул некогда так не угорал от души за видос!!
76,Литвин ты лучший
77,Литвин пацан топ
78,Литвин я тебя люблю
79,Хочу Субо
80,По любому Илья будет но а если нет то мы его любим
81,"Діму гордея .Діму
 масленікова .
Габар .Гусейн"
82,И всем почему то хочется поговорить по душам
83,"Какая же бесючая мелкая девка третьего участника! Как бабка старая пиздит! Пиздец она заипала, назойливая, мерзопакостнпя, бесючая килька!"
84,"Камарики закончились,остались только осы)))"
85,Литвин я в. Тебя верю💪💪
86,1:03:42
87,Кто смотрел ”Сердце Ивлеевой”тот знает этого доктора так как он там учавствовал
88,"ЛИТВИН Я ТЕЮЯ ЛЮБЛЮ, ВЫХОДИ ЗА МЕНЯ ❤"
89,"Нечестно....Настя супер алкаш,ее априори нельзя было принимать в игру"
90,Я постоянно думала там игла там игла разожми руку!!!!
91,"не понятно только нахуй надо было останавливать время ,когда чел просто в ""сон"" уходил ,если должны останавливать только после того ,как стаканчик упал. Может в этом выпуске это не сильно повлияло,но если было бы спорное время ,то тут уже проблемка"
92,"видео норм, но говорят они ,а стыдно мне...😂"
93,"Подсекайй, блин сорвалась😂"
94,А мы уже второй выпуск ждём Егора Крида
95,Привет литвин я давно тебя смотрю можешь подарить мне телефон у меня списке 8 памяти пожалуйста спасибо за внимание
96,Где 3 тур
97,Литвин я тебя не люблю я тебя обожаю
98,"Настюха просто умничка, это в рекорд гинесса можно записать вроде."
